Product ID,Product,Category,Brands,Provider,Selling Price,MRP Price,Discount,Rating,Bought Count,Delivery Date,Product Image URL
f007bddf-2b6c-4172-919f-eadf5716c727,"GOBOULT Tenet TWS Earbuds with 75H Playtime, App Support, Quad Mic ENC, 50ms Ultra Low Latency, Dual Device Pairing Buds, 13mm Driver Ear Buds, Bluetooth 5.4 Wireless Earbuds (Turbo Orange)",Earbuds,Unknown,Amazon,₹ 1499.00,₹ 5499.00,(73% off),4.2,0,Not specified,https://m.media-amazon.com/images/I/71iCAPvMd6L._AC_UY654_FMwebp_QL65_.jpg
e92eafdc-cdd4-4ffd-b332-07c3e0eb5864,"Noise Buds N1 Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency Gaming (Up to 40 Ms), Instacharge(10 Min=120 Min), Bluetooth V5.3(Ice Blue)",Earbuds,Noise,Amazon,₹ 999.00,₹ 3499.00,(71% off),3.8,2,Not specified,https://m.media-amazon.com/images/I/51ptyuMXIeL._AC_UY654_FMwebp_QL65_.jpg
e9812cdf-f63f-48d6-abc5-42fcddf5834f,"Noise Buds Trance in-Ear Truly Wireless Earbuds with 45H of Playtime, Voice Control, Low Latency(up to 40 ms), Instacharge(10 min=200 min), BT v5.3(True Purple)",Earbuds,Noise,Amazon,₹ 999.00,₹ 2499.00,(60% off),3.9,500,Not specified,https://m.media-amazon.com/images/I/51DtU3DZ4vL._AC_UY654_FMwebp_QL65_.jpg
79da7fa2-c55b-47e2-ba60-05557c217170,"GOBOULT Tenet TWS Earbuds with 75H Playtime, Amp App Support, Quad Mic ENC, Dual Device Pairing Buds, 13mm Driver Ear Buds, Bluetooth 5.4 Wireless Earbuds (Midnight Blue)",Earbuds,Unknown,Amazon,₹ 1499.00,₹ 5499.00,(73% off),4.2,0,Not specified,https://m.media-amazon.com/images/I/713kXMZCTzL._AC_UY654_FMwebp_QL65_.jpg
854bc255-242c-478f-aa01-f9385fecea7a,"GOBOULT x Mustang Torq Wireless in Ear Earbuds with 60H Playtime, App Support, Quad Mic ENC, 45ms Low Latency, 13mm Driver, Breathing LEDs, Made in India Ear Buds Wireless (Green)",Earbuds,Unknown,Amazon,₹ 1599.00,₹ 5999.00,(73% off),4.0,0,Not specified,https://m.media-amazon.com/images/I/71N+XrCr9vL._AC_UY654_FMwebp_QL65_.jpg
85d2c9e6-aef2-41ab-bade-32d5451f656a,"Boat Airdopes 111v2, Premium Leather Finish, 4Mics ENx, 50HRS Battery, 13mm Drivers, Fast Charge, Dual Pair, v5.4 Bluetooth TWS in Ear Earbuds Wireless Earphones with mic (Classic Black)",Earbuds,Boat,Amazon,₹ 1199.00,₹ 4990.00,(76% off),3.9,1,Not specified,https://m.media-amazon.com/images/I/71w--cFMaAL._AC_UY654_FMwebp_QL65_.jpg
466d9fb8-4c28-46f6-a327-87d96ce8b6ba,"Noise Buds N1 Truly Wireless Earbuds with Chrome Finish, 40H of Playtime, Quad Mic with ENC, Ultra Low Latency Gaming (Up to 40 Ms), Instacharge(10 Min=120 Min), Bluetooth V5.3(Calm Beige)",Earbuds,Noise,Amazon,₹ 999.00,₹ 3499.00,(71% off),3.8,1,Not specified,https://m.media-amazon.com/images/I/51d+U2c57mL._AC_UY654_FMwebp_QL65_.jpg
4e9a9cd9-280a-4e1e-9559-e81f61dbbe5c,"Boat Airdopes 141 Gen 2 (2025), 4 Mics ENx Tech, 48 Hrs Playback, Free Music Streaming, Fast Charge, Low Latency, IPX4, v5.4 Bluetooth Earbuds, TWS Ear Buds Wireless Earphones with mic (Active Black)",Earbuds,Boat,Amazon,₹ 799.00,₹ 3990.00,(80% off),3.8,2,Not specified,https://m.media-amazon.com/images/I/71O+4zDSk-L._AC_UY654_FMwebp_QL65_.jpg
69729d60-fdab-4e9e-8c68-1671a650ffdb,"ASUS Vivobook 15 (2026) with Office 2024 + M365 Basic*, AMD Ryzen 5 Hexa Core 150 - (16 GB/512 GB SSD/...",Laptop,ASUS,Flipkart,₹ 62990.00,₹ 64990.00,3% off,0.0,0,Not specified,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/d/e/-original-imahknwxyryqdsfq.jpeg?q=70
f9e3469f-489e-4421-abe9-e7aef794f01a,ASUS ExpertBook P1 (i5 14th Gen) Intel Core 5 210H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S7222...,Laptop,ASUS,Flipkart,₹ 55990.00,₹ 89990.00,37% off,4.5,6,Not specified,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/y/n/-original-imahj7yfhp8hgvvs.jpeg?q=70
